Vehicle_Title,Ratings,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,Popularity,MSRP,"Vehicle Style",Clean_rev,FeaturesDiscussed,Sentiment,Compound_Score
2014 BMW X5 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),5.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",refined and improved terrific road car the bmw  was significantly improved for  and later models evolutionary styling great handling and performance with better sound insulation a little thirsty but versatile with useful storage some of the electronic controls take a while to learn and master and could be more intuitive,"['road car', 'sound insulation']",Positive,0.91
2014 BMW X5 SUV xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 8A),5.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV", with v  and all wheel drives has deep strong a motor and handling top notch trim and interior luxurious and sturdy gps decent but not great bmw turned the traffic off after  years which i was not expecting and i did not purchase more out of principle now you can buy a car with the apple car play app and get better maps and traffic as a benefit of your phone,"['wheel drives', 'apple car']",Positive,0.8426
2014 BMW X5 SUV sDrive35i 4dr SUV (3.0L 6cyl Turbo 8A),5.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",wow wow weeeeee it is a premium car if repairs are needed so proper maintenance is essential but it is a wonderful automobile lots of extras a sound system like none other bells and whistles that have bells and whistles plus it is just plain well built an enjoyable ride im already anticipating my next bmw  it is essential to read the owners manual every week i discover some new way to access a feature this is an amazing vehicle,"['automobile lots', 'owners manual']",Positive,0.9771
2014 BMW X5 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),5.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",best suv in its class great suv,[],Positive,0.8519
2014 BMW X5 SUV sDrive35i 4dr SUV (3.0L 6cyl Turbo 8A),3.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",beautiful but its the last us made bmw ill get i will start by saying that i consider my self a bmw enthusiast this is my  bmw and sadly my first review were i feel compelled to put out there what my disappointments have been i understand that one can be the unlucky bearer of a rare lemon however the abysmal difference of expiereiences with this my first us made bmw makes me believe that there could be fundamental quality control differences between plants here is what went wrong loud ringing on the rightrear column  visits to repair transmission box failure  visit but the engine sounds funny when going up a hill ever since cargo door would open on its own  visits where i was mostly blamed for inadvertently hitting the open button until on the  visit they found that there was in deed an issue failure of the softlocking mechanism this being the worst of all issues as the doors would open by themselves while the vehicle was being operated i swear this to be true it took  visits as well where bmw service centers would refuse to fix the problem since they had to witness the issue happening the challenge being that if the episodes would happen at random the service tecnitians could not drive around the car for days until they actually saw the phenomenon happen so of course as a customer to have to deal with the disbelief of the dealerships while being forced to drive around when doors can open at any time is beyond frustrating i believe that bmw still makes very good product but i have moved my vote of no confidence in the north carolina quality control and for the first time in  years i steered off from bmw suvs,"['bmw enthusiast', 'quality control', 'control differences', 'transmission box', 'box failure', 'cargo door', '  visits', '  visit', 'issue failure', 'softlocking mechanism', '  visits', 'bmw service', 'service centers', 'service tecnitians', 'north carolina', 'carolina control', 'quality control', 'bmw suvs']",Negative,-0.9876
2014 BMW X5 SUV xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),5.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",bummer is best this is the best sav that i have owned to date reliability safety and resale value is important to me and this stands true with this ,['reliability safety'],Positive,0.9393
2014 BMW X5 SUV sDrive35i 4dr SUV (3.0L 6cyl Turbo 8A),5.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",a refined step up from prior   legendary bmw we replaced a    with the new   sdrive  model year and it is a much improve vehicle  key areas of improvements for us  idrive  connect technology  voice command is incredibly accurate and easy to   interior quality  refinement  seats instrument cluster and leather dash are higher quality material  overall  ride comfort  handling  you can still feel and have the legendary bmw style handling and road manners but harshness is all but gone as compared to  model year  the car feels much lighter and agile than the previous  led headlights are impressive in looks brightness and visibility while driving at night,"['  model', 'model year', 'improve areas', 'voice command', 'leather dash', 'quality material', '  ride', 'ride comfort', 'style handling', 'road manners', '  model', 'model year', 'looks brightness']",Positive,0.9229
2014 BMW X5 SUV xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 8A),4.75,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",best  ever the new  is a delight to drive and is truly beautiful inside the performance ride and handling are awesome  test drove the porsche cayenne and ml bmw is hands down the best for me ,"['performance ride', 'porsche cayenne']",Positive,0.9756
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),3.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",got out just in time our  was bought new in february  and regularly maintained thereafter  it was our fourth bimmer and probably our last  the car was comfortable had good performance and good looks  the idrive was ok and there were enough knobs and buttons to help you avoid using it  panoramic sunroof was great wished wed used it more often  the first several years were uneventful just what you want in a car  the last few however were anything but  we got to the point where we were afraid to take it out for more than  miles  we spent  getting a valley gasket fixed  that was the beginning leaks began showing underneath the car  not only oil but brake fluid power steering fluid etc  our local wellregarded bmw specialist said to get it steam cleaned top and bottom so they could assess where the leaks were coming from  i read horror stories from other owners about mid four figure repair costs for leaks one guy spent   after the steam cleaning our mechanic wouldnt return my phone calls i think he knew he could only give me very bad news if they put it up on their lift  the steam cleaner said not to drive the car very far after the cleaning because the leaks looked to be numerous  with great relief we traded it in on a new acura rdx last week after having driven it  miles  the guys who write the bmw commercials should build the cars because bmw reliability is a thing of the past,"['valley gasket', 'power steering', 'steering fluid', 'bmw specialist', 'horror stories', 'figure repair', 'repair costs', 'phone calls', 'steam cleaner', 'acura rdx', 'bmw commercials', 'bmw reliability']",Positive,0.8863
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),3.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",bmw  makes my ear cloudy i het cabin pressure build up in mu right ear sometimes when i am driving my bmw ,"['het pressure', 'cabin pressure']",Negative,-0.296
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),3.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",great ride but weve had a few issues i love this car it drives great in every weather condition breaking is awesome acceleration is moderate but the steering is pretty restricted any bmw feels heavy to drive which is good but my toyota sequoia has a better turning radius and its a monster also the rubber material on the handle of the driver and passenger door has melted off from the heat granted i live in southern georgia and the plastic around the gear shift is ripping im guessing the material just isnt high quality the car has also given us a few scares on road trips when it starts shutting itself down and the repairs have been expensive for that its unfortunate that our bmw has had so many problems because they are fabulous vehicles one thing i particularly love about our bmw is the sun roof if you can get a sun roof you should the thing is massive so even the passengers in the backseat can see the sky,"['weather condition', 'condition breaking', 'toyota sequoia', 'turning radius', 'rubber material', 'gear shift', 'road trips', 'sun roof', 'sun roof']",Positive,0.9878
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),4.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",great car but get a vehicle service contract i really enjoyed owning a   for several years and was looking to upgrade to a newer model  i decided to go with the  which provided a newer body look and technology and was at the right price point for me  i bought the car from a reputable used dealer and a hunch decided to purchase the safeguard vehicle service contract  and thank goodness i did  the car is at an age where some things begin to wear out such as bushings and gaskets  i took my car in for a service and to diagnose a couple of minor problems and turns out i needed repairs that totaled over   but the vehicle service contract covered pretty much every single thing  now my car is in tip top shape and all i had to pay for was a wheel alignment that wasnt covered  if i hadnt had that vsc id be screwed  a great car but repairs are very expensive  make sure you research before buying,"['vehicle service', 'service contract', 'body look', 'price point', 'vehicle service', 'safeguard contract', 'service contract', 'vehicle service', 'service contract', 'wheel alignment']",Positive,0.9779
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),4.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",road warrior this is the ultimate driving machine in so many respects  i bought this car new in  and still drive it today  it is a fine vehicle and enjoy driving from southeast louisiana to the florida gulf coast  it is a dream to drive  the only negative elements thus far is that the touch coating on the steering wheel and on the console bubbled and pealed off  the dealership and bmw should have replaced it in my opinion  just outside of the extended warranty the all wheel driveon the right front failed  fortunately i had purchased a second extended warranty from the good sams club and after my deductable of  they paid out     this was a major job for a failed gasket  should not have happened at  miles in my opinion  the tailgate fold down plastic piece brokepoor design with plastic rather than metal  plastic doesnt hold up in southern heat   all factors considered the best car that i have ever owned hands down,"['road warrior', 'florida coast', 'gulf coast', 'touch coating', 'steering wheel', 'wheel driveon', 'sams club', 'piece design', 'brokepoor design']",Positive,0.6573
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),2.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",huge dissapointment i bought this  truck used with  miles from a local lexus dealer it came with   miles warranty i thought great it made me confident that it would be a reliable car if the dealership warranty a used vehicles first off i love the way this car looks i considered it cosmetically flawless for an  truck shines like a pretty penny it came with  row seats and  row entertainment dvd center ive owned  bmw sedans in the past and loved it in the first  months ive noticed few things power steering was a bit heavy  row seat is extremely tight with leg room but at least we have it no spare tire with  row option which was expected but they dont even have a jack once the  months passed the problems begins it has been continuing issues after issues that never ends ive owned this truck for a year now and put on less than  miles on it and its time to get rid of it before it becomes more of a money pit something about the yaw control that makes the vehicle jerk during take off from a dead stop when the car is still cold in the first  mins of driving it passenger acheater vent motor grinds inside the dash when turning or making a right turn now the passenger climate control only blows warm air even when the ac is in full blast but the driver side blows cold air suspension deflates over night and you can hear the pump running when you first open the door to inflate it and level the rear of the car now it deflates after it sat for about  hours driver passenger led tail light went out no way to fix it but replace the whole tail light assembly dvd navigations takes a long time to load and it gets really warm rear camera clarity is soo poor that at night it was unuseable it started leaking oil came to find out the head gasket needed to be replaced while replacing the head gasket the brittle breather hose needed to be replace because it was guarantee to be broken when you have to take this hose out to remove the head gasket it never ran the same since then rough idles when its cold for about  seconds then it was fine now the water pump is out and recommeded to replace the thermostat while its being fix the water pump is plastic electric design and the thermostat is also enclosed in plastic housing assembly and the location of the water pump and thermostat is impossible to get to that you have to remove the wheels and wheel well to give a little more room to get to it  for the water pump  for the thermostat  magnesium mounting bolts that needed to be replaced and cannot be reused and  hours of labor at  right stage two brake light keeps coming on ive replaced all the bulbs and still comes on intermittently lastly the truck goes to neutral from drive position when you just started moving from a complete stop in the middle of the street while the engine is still running you cannot just throw it back into drive you need to press the brake pedal turn it off and restart the car to put it back in drive it happened  to  times so far when my wife was driving it and was afraid that she would get rear ended cus other drivers doesnt know that your car just stopped in neutral position huge safety issue called bmw and ofcourse you know the answer to this this is the first time they are hearing about it when hundreds of others online experiencing the same problems with this safety issue no oil dip stick computer monitors shows how much oil you have no engine temp gauge unless you unlock certain computer codes to display it on your cluster gauge time to get rid of it before something else major needs fixing heres the good great looking truck easy do it your self oil change and filter no issues with little problems all has been big jobs every features works with no issues like heated seats power windows mirrors and locks sunroof and etc so sad to get rid this beautiful truck but i cant afford for the unknown with this much major problems with only less than  miles in a year,"['  truck', 'lexus dealer', '   miles', 'miles warranty', 'dealership warranty', 'row seats', 'entertainment dvd', 'row center', 'dvd center', 'bmw sedans', 'power steering', '  row', 'row seat', 'leg room', '  row', 'row option', 'money pit', 'yaw control', 'vehicle jerk', '  mins', 'passenger acheater', 'acheater motor', 'vent motor', 'passenger climate', 'climate control', 'driver side', 'air suspension', 'hours passenger', 'driver passenger', 'tail light', 'assembly dvd', 'light navigations', 'dvd navigations', 'camera clarity', 'head gasket', 'breather hose', 'head gasket', 'water pump', 'water pump', 'housing assembly', 'water pump', 'water pump', 'brake light', 'drive position', 'brake pedal', 'safety issue', 'safety issue', 'oil dip', 'dip stick', 'stick monitors', 'computer monitors', 'engine temp', 'temp gauge', 'computer codes', 'cluster gauge', 'gauge time', 'self oil', 'oil change', 'seats mirrors', 'power mirrors', 'windows mirrors']",Negative,-0.6678
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),1.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",real lemon every  months i had some major repair on my     i am getting rid of it as soon as possible  be prepared for exhorbitant repair costs  however i will say that when it is on the road it does handle well,['repair costs'],Positive,0.4588
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),1.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",worst nightmare i purchased a  bmw   for  on the first week of purchased problems started and every week after until ever  months i now have this vehicle for a year and have spent  out of pocket trying to fixed it thats does not include additional  thats warranty paid and just found out it has another problem which cost  to fixed this car has cost me nothing but pain and stress i have not driven this vehicle for  without not going into the shop i literally cry dealing with this piece of cabbage i would advice ppl to stay away formit i no long need this car because its nothing but problems and still has to pay the bank monthly am stuck with a hefty loan and the car is of know use to me,[],Negative,-0.9111
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),1.75,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",worst vehicle we have ever owned i am a fairly affluent  year old i have owned many vehicles in my time from domestics to imports this is the absolute worst vehicle i have ever owned currently running about  to  per month in repairs the dealer loves me now it has been sitting in our garage with a brake fluid leak of some sort and is unwilling to turn over at all every light on the dash is flashing what a piece of garbage never again will i own one ever,"['  year', 'brake fluid', 'fluid leak']",Negative,-0.7845
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),2.625,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",reliability problems all around absolutely love my  however i cannot hold myself to loving something that costs me  every time it goes into the shop from having the vanos solenoids replaced the alternator the oil reservoir and the water pump the transmission seems to be going out and my panoramic sunroof no longer works i purchased last year used for  words of advise if you purchase and  buy the warranty and get rid of it when the warranty expires im thinking of moving into a range rover sport ,"['reliability problems', 'oil reservoir', 'range sport', 'rover sport']",Positive,0.6697
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),2.875,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",very disappointed  definitely not worth the money i purchased a used  bmw  less than  year agothis is my first luxury vehicle  ive always heard great reviews about bmw within my first year of ownership i have spent numerous hours in the bmw service department having major repairs done to this vehiclethey have replaced the transmission the radiator solenoid valve twice latch on  seat broke off completely brake fluid flush and im heading back into the service department this week bcuz the cel is on again for the  time in  weeksim extremely disappointed  would not recommend this vehicle or any bmw for purchasenot the quality that i thought i was getting for my money,"['luxury vehicle', 'bmw service', 'service department', 'radiator solenoid', 'service department']",Negative,-0.6467
