price,horsepower,carwidth,carbody_hatchback,enginetype_dohcv,carbody_wagon,carbody_sedan
13495,111,64.1,0,0,0,0
16500,111,64.1,0,0,0,0
16500,154,65.5,1,0,0,0
13950,102,66.2,0,0,0,1
17450,115,66.4,0,0,0,1
15250,110,66.3,0,0,0,1
17710,110,71.4,0,0,0,1
18920,110,71.4,0,0,1,0
23875,140,71.4,0,0,0,1
17859,160,67.9,1,0,0,0
16430,101,64.8,0,0,0,1
16925,101,64.8,0,0,0,1
20970,121,64.8,0,0,0,1
21105,121,64.8,0,0,0,1
24565,121,66.9,0,0,0,1
30760,182,66.9,0,0,0,1
41315,182,67.9,0,0,0,1
36880,182,70.9,0,0,0,1
5151,48,60.3,1,0,0,0
6295,70,63.6,1,0,0,0
6575,70,63.6,0,0,0,1
5572,68,63.8,1,0,0,0
6377,68,63.8,1,0,0,0
7957,102,63.8,1,0,0,0
6229,68,63.8,1,0,0,0
6692,68,63.8,0,0,0,1
7609,68,63.8,0,0,0,1
8558,102,63.8,0,0,0,1
8921,88,64.6,0,0,1,0
12964,145,66.3,1,0,0,0
6479,58,63.9,1,0,0,0
6855,76,63.9,1,0,0,0
5399,60,64.0,1,0,0,0
6529,76,64.0,1,0,0,0
7129,76,64.0,1,0,0,0
7295,76,64.0,0,0,0,1
7295,76,63.9,0,0,1,0
7895,86,65.2,1,0,0,0
9095,86,65.2,1,0,0,0
8845,86,65.2,0,0,0,1
10295,86,62.5,0,0,0,1
12945,101,65.2,0,0,0,1
10345,100,66.0,0,0,0,1
6785,78,61.8,0,0,0,1
8916,70,63.6,0,0,0,1
8916,70,63.6,0,0,0,1
11048,90,65.2,1,0,0,0
32250,176,69.6,0,0,0,1
35550,176,69.6,0,0,0,1
36000,262,70.6,0,0,0,1
5195,68,64.2,1,0,0,0
6095,68,64.2,1,0,0,0
6795,68,64.2,1,0,0,0
6695,68,64.2,0,0,0,1
7395,68,64.2,0,0,0,1
10945,101,65.7,1,0,0,0
11845,101,65.7,1,0,0,0
13645,101,65.7,1,0,0,0
15645,135,65.7,1,0,0,0
8845,84,66.5,1,0,0,0
8495,84,66.5,0,0,0,1
10595,84,66.5,1,0,0,0
10245,84,66.5,0,0,0,1
10795,64,66.5,0,0,0,1
11245,84,66.5,1,0,0,0
18280,120,66.1,0,0,0,1
18344,72,66.1,0,0,0,1
25552,123,70.3,0,0,0,1
28248,123,70.3,0,0,1,0
28176,123,70.3,0,0,0,0
31600,123,71.7,0,0,0,1
34184,155,71.7,0,0,0,1
35056,155,70.5,0,0,0,0
40960,184,71.7,0,0,0,1
45400,184,72.0,0,0,0,0
16503,175,68.0,1,0,0,0
5389,68,64.4,1,0,0,0
6189,68,64.4,1,0,0,0
6669,68,64.4,1,0,0,0
7689,102,63.8,1,0,0,0
9959,116,65.4,1,0,0,0
8499,88,65.4,1,0,0,0
12629,145,66.3,1,0,0,0
14869,145,66.3,1,0,0,0
14489,145,66.3,1,0,0,0
6989,88,65.4,0,0,0,1
8189,88,65.4,0,0,0,1
9279,116,65.4,0,0,0,1
9279,116,65.4,0,0,0,1
5499,69,63.8,0,0,0,1
7099,55,63.8,0,0,0,1
6649,69,63.8,0,0,0,1
6849,69,63.8,0,0,0,1
7349,69,63.8,0,0,1,0
7299,69,63.8,0,0,0,1
7799,69,63.8,1,0,0,0
7499,69,63.8,0,0,0,1
7999,69,63.8,0,0,1,0
8249,69,63.8,0,0,0,0
8949,97,65.2,1,0,0,0
9549,97,65.2,0,0,0,1
13499,152,66.5,0,0,0,1
14399,152,66.5,0,0,1,0
13499,152,66.5,0,0,0,1
17199,160,67.9,1,0,0,0
19699,200,67.9,1,0,0,0
18399,160,67.9,1,0,0,0
11900,97,68.4,0,0,0,1
13200,95,68.4,0,0,0,1
12440,97,68.4,0,0,1,0
13860,95,68.4,0,0,1,0
15580,95,68.4,0,0,0,1
16900,95,68.4,0,0,0,1
16695,95,68.4,0,0,1,0
17075,95,68.4,0,0,1,0
16630,97,68.4,0,0,0,1
17950,95,68.4,0,0,0,1
18150,142,68.3,0,0,0,1
5572,68,63.8,1,0,0,0
7957,102,63.8,1,0,0,0
6229,68,63.8,1,0,0,0
6692,68,63.8,0,0,0,1
7609,68,63.8,0,0,0,1
8921,88,64.6,0,0,1,0
12764,145,66.3,1,0,0,0
22018,143,68.3,1,0,0,0
32528,207,65.0,0,0,0,0
34028,207,65.0,0,0,0,0
37028,207,65.0,0,0,0,0
31400,288,72.3,1,1,0,0
9295,90,66.5,0,0,1,0
9895,90,66.6,1,0,0,0
11850,110,66.5,1,0,0,0
12170,110,66.5,0,0,0,1
15040,110,66.5,1,0,0,0
15510,110,66.5,0,0,0,1
18150,160,66.5,1,0,0,0
18620,160,66.5,0,0,0,1
5118,69,63.4,1,0,0,0
7053,73,63.6,1,0,0,0
7603,73,63.8,1,0,0,0
7126,82,65.4,0,0,0,1
7775,82,65.4,0,0,0,1
9960,94,65.4,0,0,0,1
9233,82,65.4,0,0,0,1
11259,111,65.4,0,0,0,1
7463,82,65.4,0,0,1,0
10198,94,65.4,0,0,1,0
8013,82,65.4,0,0,1,0
11694,111,65.4,0,0,1,0
5348,62,63.6,1,0,0,0
6338,62,63.6,1,0,0,0
6488,62,63.6,1,0,0,0
6918,62,63.6,0,0,1,0
7898,62,63.6,0,0,1,0
8778,62,63.6,0,0,1,0
6938,70,64.4,0,0,0,1
7198,70,64.4,1,0,0,0
7898,56,64.4,0,0,0,1
7788,56,64.4,1,0,0,0
7738,70,64.4,0,0,0,1
8358,70,64.4,1,0,0,0
9258,70,64.4,0,0,0,1
8058,70,64.0,0,0,0,1
8238,70,64.0,1,0,0,0
9298,112,64.0,0,0,0,1
9538,112,64.0,1,0,0,0
8449,116,65.6,0,0,0,0
9639,116,65.6,0,0,0,0
9989,116,65.6,1,0,0,0
11199,116,65.6,0,0,0,0
11549,116,65.6,1,0,0,0
17669,116,65.6,0,0,0,0
8948,92,66.5,0,0,0,1
10698,73,66.5,0,0,0,1
9988,92,66.5,1,0,0,0
10898,92,66.5,0,0,0,1
11248,92,66.5,1,0,0,0
16558,161,67.7,1,0,0,0
15998,161,67.7,1,0,0,0
15690,156,66.5,0,0,0,1
15750,156,66.5,0,0,1,0
7775,52,65.5,0,0,0,1
7975,85,65.5,0,0,0,1
7995,52,65.5,0,0,0,1
8195,85,65.5,0,0,0,1
8495,85,65.5,0,0,0,1
9495,68,65.5,0,0,0,1
9995,100,65.5,0,0,0,1
11595,90,64.2,0,0,0,0
9980,90,64.0,1,0,0,0
13295,110,66.9,0,0,0,1
13845,68,66.9,0,0,0,1
12290,88,66.9,0,0,1,0
12940,114,67.2,0,0,0,1
13415,114,67.2,0,0,1,0
15985,114,67.2,0,0,0,1
16515,114,67.2,0,0,1,0
18420,162,67.2,0,0,0,1
18950,162,67.2,0,0,1,0
16845,114,68.9,0,0,0,1
19045,160,68.8,0,0,0,1
21485,134,68.9,0,0,0,1
22470,106,68.9,0,0,0,1
22625,114,68.9,0,0,0,1
