Ratings,Model,Year,Engine HP,Engine Cylinders,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,"Vehicle Style",Sentiment,Compound_Score
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9231
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.7562
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.7717
1.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.7184
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,0.0
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.93
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8621
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8693
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.6249
1.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9538
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9055
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9934
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8626
1.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,-0.0822
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9569
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9607
1.875,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.9656
4.875,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9091
4.25,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9283
2.25,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.7713
4.75,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8952
4.625,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,-0.0745
4.625,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9209
4.75,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9797
4.25,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,-0.1779
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8979
2.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9369
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.7579
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9765
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9895
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9891
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.979
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8519
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.7845
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9889
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.6249
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9225
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.6369
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8385
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.6249
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.9406
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.4215
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,0.1027
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,1,0.0
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9945
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9313
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9586
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.9723
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.7991
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.5106
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9661
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9899
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.935
3.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,0,-0.8508
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.6249
4.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.8807
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.997
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.9934
5.0,16,2015.0,240.0,4.0,2,4.0,2,2,34.0,23.0,2,2,0.975
