,price,Cars_Category,enginetype,fueltype,aspiration,carbody,cylindernumber,drivewheel,wheelbase,curbweight,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth
0,13495,Medium_Range,dohc,gas,std,convertible,four,rwd,88.6,2548,130,3.47,111,21,27,168.8,64.1
1,16500,Medium_Range,dohc,gas,std,convertible,four,rwd,88.6,2548,130,3.47,111,21,27,168.8,64.1
2,16500,Medium_Range,ohcv,gas,std,hatchback,six,rwd,94.5,2823,152,2.68,154,19,26,171.2,65.5
3,13950,Medium_Range,ohc,gas,std,sedan,four,fwd,99.8,2337,109,3.19,102,24,30,176.6,66.2
4,17450,Medium_Range,ohc,gas,std,sedan,five,4wd,99.4,2824,136,3.19,115,18,22,176.6,66.4
5,15250,Medium_Range,ohc,gas,std,sedan,five,fwd,99.8,2507,136,3.19,110,19,25,177.3,66.3
6,17710,Medium_Range,ohc,gas,std,sedan,five,fwd,105.8,2844,136,3.19,110,19,25,192.7,71.4
7,18920,Medium_Range,ohc,gas,std,wagon,five,fwd,105.8,2954,136,3.19,110,19,25,192.7,71.4
8,23875,Medium_Range,ohc,gas,turbo,sedan,five,fwd,105.8,3086,131,3.13,140,17,20,192.7,71.4
9,17859,Medium_Range,ohc,gas,turbo,hatchback,five,4wd,99.5,3053,131,3.13,160,16,22,178.2,67.9
10,16430,High_Range,ohc,gas,std,sedan,four,rwd,101.2,2395,108,3.5,101,23,29,176.8,64.8
11,16925,High_Range,ohc,gas,std,sedan,four,rwd,101.2,2395,108,3.5,101,23,29,176.8,64.8
12,20970,High_Range,ohc,gas,std,sedan,six,rwd,101.2,2710,164,3.31,121,21,28,176.8,64.8
13,21105,High_Range,ohc,gas,std,sedan,six,rwd,101.2,2765,164,3.31,121,21,28,176.8,64.8
14,24565,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3055,164,3.31,121,20,25,189.0,66.9
15,30760,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3230,209,3.62,182,16,22,189.0,66.9
16,41315,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3380,209,3.62,182,16,22,193.8,67.9
17,36880,High_Range,ohc,gas,std,sedan,six,rwd,110.0,3505,209,3.62,182,15,20,197.0,70.9
18,5151,Low_Range,l,gas,std,hatchback,three,fwd,88.4,1488,61,2.91,48,47,53,141.1,60.3
19,6295,Low_Range,ohc,gas,std,hatchback,four,fwd,94.5,1874,90,3.03,70,38,43,155.9,63.6
20,6575,Low_Range,ohc,gas,std,sedan,four,fwd,94.5,1909,90,3.03,70,38,43,158.8,63.6
21,5572,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1876,90,2.97,68,37,41,157.3,63.8
22,6377,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1876,90,2.97,68,31,38,157.3,63.8
23,7957,Low_Range,ohc,gas,turbo,hatchback,four,fwd,93.7,2128,98,3.03,102,24,30,157.3,63.8
