,Model,Make,price,Cars_Category,enginetype,fueltype,aspiration,carbody,cylindernumber,drivewheel,wheelbase,curbweight,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth
0,giulia,alfa-romero,13495,Medium_Range,dohc,gas,std,convertible,four,rwd,88.6,2548,130,3.47,111,21,27,168.8,64.1
1,stelvio,alfa-romero,16500,Medium_Range,dohc,gas,std,convertible,four,rwd,88.6,2548,130,3.47,111,21,27,168.8,64.1
2,Quadrifoglio,alfa-romero,16500,Medium_Range,ohcv,gas,std,hatchback,six,rwd,94.5,2823,152,2.68,154,19,26,171.2,65.5
3,100 ls,audi,13950,Medium_Range,ohc,gas,std,sedan,four,fwd,99.8,2337,109,3.19,102,24,30,176.6,66.2
4,100ls,audi,17450,Medium_Range,ohc,gas,std,sedan,five,4wd,99.4,2824,136,3.19,115,18,22,176.6,66.4
5,fox,audi,15250,Medium_Range,ohc,gas,std,sedan,five,fwd,99.8,2507,136,3.19,110,19,25,177.3,66.3
6,100ls,audi,17710,Medium_Range,ohc,gas,std,sedan,five,fwd,105.8,2844,136,3.19,110,19,25,192.7,71.4
7,5000,audi,18920,Medium_Range,ohc,gas,std,wagon,five,fwd,105.8,2954,136,3.19,110,19,25,192.7,71.4
8,4000,audi,23875,Medium_Range,ohc,gas,turbo,sedan,five,fwd,105.8,3086,131,3.13,140,17,20,192.7,71.4
9,5000s (diesel),audi,17859,Medium_Range,ohc,gas,turbo,hatchback,five,4wd,99.5,3053,131,3.13,160,16,22,178.2,67.9
10,320i,bmw,16430,High_Range,ohc,gas,std,sedan,four,rwd,101.2,2395,108,3.5,101,23,29,176.8,64.8
11,320i,bmw,16925,High_Range,ohc,gas,std,sedan,four,rwd,101.2,2395,108,3.5,101,23,29,176.8,64.8
12,x1,bmw,20970,High_Range,ohc,gas,std,sedan,six,rwd,101.2,2710,164,3.31,121,21,28,176.8,64.8
13,x3,bmw,21105,High_Range,ohc,gas,std,sedan,six,rwd,101.2,2765,164,3.31,121,21,28,176.8,64.8
14,z4,bmw,24565,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3055,164,3.31,121,20,25,189.0,66.9
15,x4,bmw,30760,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3230,209,3.62,182,16,22,189.0,66.9
16,x5,bmw,41315,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3380,209,3.62,182,16,22,193.8,67.9
17,x3,bmw,36880,High_Range,ohc,gas,std,sedan,six,rwd,110.0,3505,209,3.62,182,15,20,197.0,70.9
18,impala,chevrolet,5151,Low_Range,l,gas,std,hatchback,three,fwd,88.4,1488,61,2.91,48,47,53,141.1,60.3
19,monte carlo,chevrolet,6295,Low_Range,ohc,gas,std,hatchback,four,fwd,94.5,1874,90,3.03,70,38,43,155.9,63.6
20,vega 2300,chevrolet,6575,Low_Range,ohc,gas,std,sedan,four,fwd,94.5,1909,90,3.03,70,38,43,158.8,63.6
21,rampage,dodge,5572,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1876,90,2.97,68,37,41,157.3,63.8
22,challenger se,dodge,6377,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1876,90,2.97,68,31,38,157.3,63.8
23,d200,dodge,7957,Low_Range,ohc,gas,turbo,hatchback,four,fwd,93.7,2128,98,3.03,102,24,30,157.3,63.8
24,monaco (sw),dodge,6229,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1967,90,2.97,68,31,38,157.3,63.8
25,colt hardtop,dodge,6692,Low_Range,ohc,gas,std,sedan,four,fwd,93.7,1989,90,2.97,68,31,38,157.3,63.8
26,colt (sw),dodge,7609,Low_Range,ohc,gas,std,sedan,four,fwd,93.7,1989,90,2.97,68,31,38,157.3,63.8
27,coronet custom,dodge,8558,Low_Range,ohc,gas,turbo,sedan,four,fwd,93.7,2191,98,3.03,102,24,30,157.3,63.8
28,dart custom,dodge,8921,Low_Range,ohc,gas,std,wagon,four,fwd,103.3,2535,122,3.34,88,24,30,174.6,64.6
29,coronet custom (sw),dodge,12964,Low_Range,ohc,gas,turbo,hatchback,four,fwd,95.9,2811,156,3.6,145,19,24,173.2,66.3
30,civic,honda,6479,Low_Range,ohc,gas,std,hatchback,four,fwd,86.6,1713,92,2.91,58,49,54,144.6,63.9
31,civic cvcc,honda,6855,Low_Range,ohc,gas,std,hatchback,four,fwd,86.6,1819,92,2.91,76,31,38,144.6,63.9
32,civic,honda,5399,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1837,79,2.91,60,38,42,150.0,64.0
33,accord cvcc,honda,6529,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1940,92,2.91,76,30,34,150.0,64.0
34,civic cvcc,honda,7129,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1956,92,2.91,76,30,34,150.0,64.0
35,accord lx,honda,7295,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2010,92,2.91,76,30,34,163.4,64.0
36,civic 1500 gl,honda,7295,Low_Range,ohc,gas,std,wagon,four,fwd,96.5,2024,92,2.92,76,30,34,157.1,63.9
37,accord,honda,7895,Low_Range,ohc,gas,std,hatchback,four,fwd,96.5,2236,110,3.15,86,27,33,167.5,65.2
38,civic 1300,honda,9095,Low_Range,ohc,gas,std,hatchback,four,fwd,96.5,2289,110,3.15,86,27,33,167.5,65.2
39,prelude,honda,8845,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2304,110,3.15,86,27,33,175.4,65.2
40,accord,honda,10295,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2372,110,3.15,86,27,33,175.4,62.5
41,civic,honda,12945,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2465,110,3.15,101,24,28,175.4,65.2
42,civic (auto),honda,10345,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2293,110,3.15,100,25,31,169.1,66.0
43,MU-X,isuzu,6785,Low_Range,ohc,gas,std,sedan,four,rwd,94.3,2337,111,3.31,78,24,29,170.7,61.8
44,D-Max ,isuzu,8916,Low_Range,ohc,gas,std,sedan,four,fwd,94.5,1874,90,3.03,70,38,43,155.9,63.6
45,D-Max V-Cross,isuzu,8916,Low_Range,ohc,gas,std,sedan,four,fwd,94.5,1909,90,3.03,70,38,43,155.9,63.6
46,D-Max ,isuzu,11048,Low_Range,ohc,gas,std,hatchback,four,rwd,96.0,2734,119,3.43,90,24,29,172.6,65.2
47,xj,jaguar,32250,High_Range,dohc,gas,std,sedan,six,rwd,113.0,4066,258,3.63,176,15,19,199.6,69.6
