,price,enginetype,fueltype,aspiration,carbody,cylindernumber,drivewheel,wheelbase,curbweight,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth,cluster
0,13495,0,1,0,0,2,2,88.6,2548,130,3.47,111,21,27,168.8,64.1,2
1,16500,0,1,0,0,2,2,88.6,2548,130,3.47,111,21,27,168.8,64.1,2
2,16500,5,1,0,2,3,2,94.5,2823,152,2.68,154,19,26,171.2,65.5,2
3,13950,3,1,0,3,2,1,99.8,2337,109,3.19,102,24,30,176.6,66.2,2
4,17450,3,1,0,3,1,0,99.4,2824,136,3.19,115,18,22,176.6,66.4,2
5,15250,3,1,0,3,1,1,99.8,2507,136,3.19,110,19,25,177.3,66.3,2
6,17710,3,1,0,3,1,1,105.8,2844,136,3.19,110,19,25,192.7,71.4,2
7,18920,3,1,0,4,1,1,105.8,2954,136,3.19,110,19,25,192.7,71.4,2
8,23875,3,1,1,3,1,1,105.8,3086,131,3.13,140,17,20,192.7,71.4,2
9,17859,3,1,1,2,1,0,99.5,3053,131,3.13,160,16,22,178.2,67.9,2
10,16430,3,1,0,3,2,2,101.2,2395,108,3.5,101,23,29,176.8,64.8,2
11,16925,3,1,0,3,2,2,101.2,2395,108,3.5,101,23,29,176.8,64.8,2
12,20970,3,1,0,3,3,2,101.2,2710,164,3.31,121,21,28,176.8,64.8,2
13,21105,3,1,0,3,3,2,101.2,2765,164,3.31,121,21,28,176.8,64.8,2
14,24565,3,1,0,3,3,2,103.5,3055,164,3.31,121,20,25,189.0,66.9,2
15,30760,3,1,0,3,3,2,103.5,3230,209,3.62,182,16,22,189.0,66.9,1
16,41315,3,1,0,3,3,2,103.5,3380,209,3.62,182,16,22,193.8,67.9,1
17,36880,3,1,0,3,3,2,110.0,3505,209,3.62,182,15,20,197.0,70.9,1
18,5151,2,1,0,2,4,1,88.4,1488,61,2.91,48,47,53,141.1,60.3,0
19,6295,3,1,0,2,2,1,94.5,1874,90,3.03,70,38,43,155.9,63.6,0
20,6575,3,1,0,3,2,1,94.5,1909,90,3.03,70,38,43,158.8,63.6,0
21,5572,3,1,0,2,2,1,93.7,1876,90,2.97,68,37,41,157.3,63.8,0
22,6377,3,1,0,2,2,1,93.7,1876,90,2.97,68,31,38,157.3,63.8,0
23,7957,3,1,1,2,2,1,93.7,2128,98,3.03,102,24,30,157.3,63.8,0
24,6229,3,1,0,2,2,1,93.7,1967,90,2.97,68,31,38,157.3,63.8,0
25,6692,3,1,0,3,2,1,93.7,1989,90,2.97,68,31,38,157.3,63.8,0
26,7609,3,1,0,3,2,1,93.7,1989,90,2.97,68,31,38,157.3,63.8,0
27,8558,3,1,1,3,2,1,93.7,2191,98,3.03,102,24,30,157.3,63.8,0
28,8921,3,1,0,4,2,1,103.3,2535,122,3.34,88,24,30,174.6,64.6,0
29,12964,3,1,1,2,2,1,95.9,2811,156,3.6,145,19,24,173.2,66.3,2
30,6479,3,1,0,2,2,1,86.6,1713,92,2.91,58,49,54,144.6,63.9,0
31,6855,3,1,0,2,2,1,86.6,1819,92,2.91,76,31,38,144.6,63.9,0
32,5399,3,1,0,2,2,1,93.7,1837,79,2.91,60,38,42,150.0,64.0,0
33,6529,3,1,0,2,2,1,93.7,1940,92,2.91,76,30,34,150.0,64.0,0
34,7129,3,1,0,2,2,1,93.7,1956,92,2.91,76,30,34,150.0,64.0,0
35,7295,3,1,0,3,2,1,96.5,2010,92,2.91,76,30,34,163.4,64.0,0
36,7295,3,1,0,4,2,1,96.5,2024,92,2.92,76,30,34,157.1,63.9,0
37,7895,3,1,0,2,2,1,96.5,2236,110,3.15,86,27,33,167.5,65.2,0
38,9095,3,1,0,2,2,1,96.5,2289,110,3.15,86,27,33,167.5,65.2,0
39,8845,3,1,0,3,2,1,96.5,2304,110,3.15,86,27,33,175.4,65.2,0
40,10295,3,1,0,3,2,1,96.5,2372,110,3.15,86,27,33,175.4,62.5,0
41,12945,3,1,0,3,2,1,96.5,2465,110,3.15,101,24,28,175.4,65.2,2
42,10345,3,1,0,3,2,1,96.5,2293,110,3.15,100,25,31,169.1,66.0,0
43,6785,3,1,0,3,2,2,94.3,2337,111,3.31,78,24,29,170.7,61.8,0
44,8916,3,1,0,3,2,1,94.5,1874,90,3.03,70,38,43,155.9,63.6,0
45,8916,3,1,0,3,2,1,94.5,1909,90,3.03,70,38,43,155.9,63.6,0
46,11048,3,1,0,2,2,2,96.0,2734,119,3.43,90,24,29,172.6,65.2,0
47,32250,0,1,0,3,3,2,113.0,4066,258,3.63,176,15,19,199.6,69.6,1
48,35550,0,1,0,3,3,2,113.0,4066,258,3.63,176,15,19,199.6,69.6,1
49,36000,5,1,0,3,5,2,102.0,3950,326,3.54,262,13,17,191.7,70.6,1
50,5195,3,1,0,2,2,1,93.1,1890,91,3.03,68,30,31,159.1,64.2,0
51,6095,3,1,0,2,2,1,93.1,1900,91,3.03,68,31,38,159.1,64.2,0
52,6795,3,1,0,2,2,1,93.1,1905,91,3.03,68,31,38,159.1,64.2,0
53,6695,3,1,0,3,2,1,93.1,1945,91,3.03,68,31,38,166.8,64.2,0
54,7395,3,1,0,3,2,1,93.1,1950,91,3.08,68,31,38,166.8,64.2,0
55,10945,6,1,0,2,6,2,95.3,2380,70,3.33,101,17,23,169.0,65.7,0
56,11845,6,1,0,2,6,2,95.3,2380,70,3.33,101,17,23,169.0,65.7,0
57,13645,6,1,0,2,6,2,95.3,2385,70,3.33,101,17,23,169.0,65.7,2
58,15645,6,1,0,2,6,2,95.3,2500,80,3.33,135,16,23,169.0,65.7,2
59,8845,3,1,0,2,2,1,98.8,2385,122,3.39,84,26,32,177.8,66.5,0
60,8495,3,1,0,3,2,1,98.8,2410,122,3.39,84,26,32,177.8,66.5,0
61,10595,3,1,0,2,2,1,98.8,2385,122,3.39,84,26,32,177.8,66.5,0
62,10245,3,1,0,3,2,1,98.8,2410,122,3.39,84,26,32,177.8,66.5,0
63,10795,3,0,0,3,2,1,98.8,2443,122,3.39,64,36,42,177.8,66.5,0
64,11245,3,1,0,2,2,1,98.8,2425,122,3.39,84,26,32,177.8,66.5,0
65,18280,3,1,0,3,2,2,104.9,2670,140,3.76,120,19,27,175.0,66.1,2
66,18344,3,0,0,3,2,2,104.9,2700,134,3.43,72,31,39,175.0,66.1,2
67,25552,3,0,1,3,1,2,110.0,3515,183,3.58,123,22,25,190.9,70.3,2
68,28248,3,0,1,4,1,2,110.0,3750,183,3.58,123,22,25,190.9,70.3,1
69,28176,3,0,1,1,1,2,106.7,3495,183,3.58,123,22,25,187.5,70.3,1
70,31600,3,0,1,3,1,2,115.6,3770,183,3.58,123,22,25,202.6,71.7,1
71,34184,5,1,0,3,0,2,115.6,3740,234,3.46,155,16,18,202.6,71.7,1
72,35056,5,1,0,0,0,2,96.6,3685,234,3.46,155,16,18,180.3,70.5,1
73,40960,5,1,0,3,0,2,120.9,3900,308,3.8,184,14,16,208.1,71.7,1
74,45400,5,1,0,1,0,2,112.0,3715,304,3.8,184,14,16,199.2,72.0,1
75,16503,3,1,1,2,2,2,102.7,2910,140,3.78,175,19,24,178.4,68.0,2
76,5389,3,1,0,2,2,1,93.7,1918,92,2.97,68,37,41,157.3,64.4,0
77,6189,3,1,0,2,2,1,93.7,1944,92,2.97,68,31,38,157.3,64.4,0
78,6669,3,1,0,2,2,1,93.7,2004,92,2.97,68,31,38,157.3,64.4,0
79,7689,3,1,1,2,2,1,93.0,2145,98,3.03,102,24,30,157.3,63.8,0
80,9959,3,1,1,2,2,1,96.3,2370,110,3.17,116,23,30,173.0,65.4,0
81,8499,3,1,0,2,2,1,96.3,2328,122,3.35,88,25,32,173.0,65.4,0
82,12629,3,1,1,2,2,1,95.9,2833,156,3.58,145,19,24,173.2,66.3,0
83,14869,3,1,1,2,2,1,95.9,2921,156,3.59,145,19,24,173.2,66.3,2
84,14489,3,1,1,2,2,1,95.9,2926,156,3.59,145,19,24,173.2,66.3,2
85,6989,3,1,0,3,2,1,96.3,2365,122,3.35,88,25,32,172.4,65.4,0
86,8189,3,1,0,3,2,1,96.3,2405,122,3.35,88,25,32,172.4,65.4,0
87,9279,3,1,1,3,2,1,96.3,2403,110,3.17,116,23,30,172.4,65.4,0
