Model,Sales,Price,Launch-Date,Days,Months,Years
Acura        - Integra          ,16.919,21.5,2014-02-02,1359,45,3
Acura        - TL               ,39.384,28.4,2015-03-06,962,32,2
Acura        - RL               ,8.588,42.0,2015-10-03,751,25,2
Audi         - A4               ,20.397000000000002,23.99,2015-08-10,805,26,2
Audi         - A6               ,18.78,33.95,2015-09-08,776,25,2
Audi         - A8               ,1.38,62.0,2014-02-27,1334,44,3
BMW          - 323i             ,19.747,26.99,2015-06-28,848,28,2
BMW          - 328i             ,9.231,33.4,2014-01-29,1363,45,3
BMW          - 528i             ,17.527,38.9,2015-04-04,933,31,2
Buick        - Century          ,91.561,21.975,2015-02-11,985,32,2
Buick        - Regal            ,39.35,25.3,2015-03-09,959,31,2
Buick        - Park Avenue      ,27.851,31.965,2014-03-23,1310,43,3
Buick        - LeSabre          ,83.257,27.885,2015-07-23,823,27,2
Cadillac     - DeVille          ,63.729,39.895,2014-02-23,1338,44,3
Cadillac     - Seville          ,15.943,44.475,2015-04-29,908,30,2
Cadillac     - Eldorado         ,6.5360000000000005,39.665,2015-11-27,696,23,1
Cadillac     - Catera           ,11.185,31.01,2015-09-28,756,25,2
Cadillac     - Escalade         ,14.785,46.225,2014-04-17,1285,42,3
Chevrolet    - Cavalier         ,145.519,13.26,2015-08-17,798,26,2
Chevrolet    - Malibu           ,135.126,16.535,2014-03-19,1314,43,3
Chevrolet    - Lumina           ,24.629,18.89,2015-05-24,883,29,2
Chevrolet    - Monte Carlo      ,42.593,19.39,2015-12-22,671,22,1
Chevrolet    - Camaro           ,26.401999999999997,24.34,2015-10-23,731,24,2
Chevrolet    - Corvette         ,17.947,45.705,2014-12-05,1053,35,2
Chevrolet    - Prizm            ,32.299,13.96,2015-11-09,714,23,1
Chevrolet    - Metro            ,21.855,9.235,2014-04-13,1289,42,3
Chevrolet    - Impala           ,107.995,18.89,2015-06-18,858,28,2
Chrysler     - Sebring Coupe    ,7.854,19.84,2014-01-16,1376,45,3
Chrysler     - Sebring Conv.    ,32.775,24.495,2015-11-17,706,23,1
Chrysler     - Concorde         ,31.148000000000003,22.245,2014-06-06,1235,41,3
Chrysler     - Cirrus           ,32.306,16.48,2015-06-10,866,28,2
